product_id,brand,price,category,rating,image_url,product_url
B07D15X8BD,Kipling,213.48,New season,4.7,https://m.media-amazon.com/images/I/619BxcQr+0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07D15X8BD
B09VT1FCYN,wheel,21.9,New season,4.6,https://m.media-amazon.com/images/I/81eSul9g-zL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09VT1FCYN
B08QYQH3J4,Nike by You,60.0,New season,4.6,https://m.media-amazon.com/images/I/71qR6QMzlhL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08QYQH3J4
B0C5J8KWNH,PUMA,103.68,New season,4.1,https://m.media-amazon.com/images/I/61hWZul1wiL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C5J8KWNH
B00M17LFWM,flip-flops,109.0,New season,4.6,https://m.media-amazon.com/images/I/61qDBJ0UpCL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00M17LFWM
B074MKCXLH,flip-flops,92.0,New season,4.6,https://m.media-amazon.com/images/I/71QQlsQqV0L._AC_UL320_.jpg,https://www.amazon.ae/dp/B074MKCXLH
B091MK45DB,Shining Diva Fashion,21.08,New season,4.1,https://m.media-amazon.com/images/I/51JBNLtPvQS._AC_UL320_.jpg,https://www.amazon.ae/dp/B091MK45DB
B0CVXTS7XP,Casio,143.59,New season,4.4,https://m.media-amazon.com/images/I/61L8QaDng7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CVXTS7XP
B07K2MLC3L,Adidas AG,61.0,New season,3.9,https://m.media-amazon.com/images/I/41tC3c-R3aL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07K2MLC3L
B0D3J17ZPB,Skechers,110.0,New season,4.3,https://m.media-amazon.com/images/I/81FhdfHTUzL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D3J17ZPB
B0CYHD7ZW1,Under Armour,84.0,New season,4.0,https://m.media-amazon.com/images/I/6107YUu-zEL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CYHD7ZW
B0BPSMBMW5,Adidas AG,65.0,New season,4.2,https://m.media-amazon.com/images/I/81y-NdTBz4L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BPSMBMW
B0CKXT54DG,Adidas AG,119.0,New season,4.5,https://m.media-amazon.com/images/I/71pxPAd9ATL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CKXT54DG
B0739TY3TD,Angel's kiss,119.97,New season,4.4,https://m.media-amazon.com/images/I/71YJXwmJipL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0739TY3TD
B0D3J1SMDV,Skechers,79.09,New season,4.4,https://m.media-amazon.com/images/I/71ucKecpO8L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D3J1SMDV
B09HZD4THS,Adidas AG,68.0,New season,4.0,https://m.media-amazon.com/images/I/41+m-t9gLPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09HZD4THS
